                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40791,                0.24777,                0.81842,                0.98837,                0.98739,                0.99114,                0.82704,                0.73216,                0.33502,                 1.0237,                 0.0008,                 0.0008,                 0.0008
                      2,                0.44177,                0.26511,                0.82572,                0.98987,                0.98537,                 0.9903,                0.81546,                0.76628,                0.34798,                 1.0405,              0.0015933,              0.0015933,              0.0015933
                      3,                0.46058,                0.27279,                0.82846,                0.98684,                0.98396,                0.98977,                0.82631,                0.73125,                0.33653,                  1.013,               0.001934,               0.001934,               0.001934
                      4,                0.44516,                 0.2661,                0.82552,                0.98937,                0.98688,                0.99203,                0.82287,                0.73362,                0.34024,                 1.0158,               0.001934,               0.001934,               0.001934
                      5,                0.44441,                0.26593,                0.82587,                0.98736,                0.98535,                0.99071,                0.82227,                0.73547,                0.34421,                 1.0212,               0.001901,               0.001901,               0.001901
                      6,                0.45288,                0.26944,                0.83266,                0.98935,                0.98462,                0.98972,                0.81715,                0.73106,                0.34178,                 1.0197,               0.001868,               0.001868,               0.001868
                      7,                0.44831,                0.26674,                0.82881,                0.98987,                0.98597,                0.99172,                0.82547,                0.73508,                0.33835,                 1.0251,               0.001835,               0.001835,               0.001835
                      8,                0.43715,                0.26262,                0.82305,                0.98935,                 0.9845,                0.99307,                0.82875,                0.72994,                0.33117,                  1.019,               0.001802,               0.001802,               0.001802
                      9,                0.43152,                0.25927,                0.82277,                0.98888,                  0.987,                0.99286,                  0.827,                0.74021,                0.33602,                 1.0232,               0.001769,               0.001769,               0.001769
                     10,                0.42626,                0.25737,                0.82154,                0.98888,                0.98736,                0.99126,                0.82853,                0.72629,                0.33776,                 1.0243,               0.001736,               0.001736,               0.001736
                     11,                0.43671,                0.26088,                0.82473,                0.99037,                0.98549,                0.99129,                0.82103,                0.74606,                0.34413,                  1.037,               0.001703,               0.001703,               0.001703
                     12,                0.43914,                0.26425,                0.82426,                0.98937,                0.98651,                 0.9918,                0.82681,                0.72826,                  0.335,                 1.0189,                0.00167,                0.00167,                0.00167
                     13,                0.43136,                0.26208,                0.82144,                0.98723,                0.98587,                0.99179,                0.83148,                0.72633,                0.33273,                 1.0231,               0.001637,               0.001637,               0.001637
