                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58938,                0.30296,                0.87565,                0.99107,                0.98638,                0.99371,                 0.8252,                0.76284,                0.31932,                 1.0208,                0.00076,                0.00076,                0.00076
                      2,                0.55997,                0.29959,                0.86289,                0.99328,                0.99092,                 0.9939,                0.82857,                0.74259,                 0.3271,                 1.0073,              0.0015209,              0.0015209,              0.0015209
                      3,                0.56223,                0.30124,                0.85812,                0.99239,                0.99344,                 0.9938,                0.83011,                0.74181,                0.32416,                 1.0165,              0.0019505,              0.0019505,              0.0019505
                      4,                0.54174,                0.29514,                0.85394,                0.99231,                0.99244,                0.99411,                0.82823,                0.73644,                0.32483,                   1.01,              0.0019505,              0.0019505,              0.0019505
                      5,                0.54013,                0.29622,                0.85151,                 0.9927,                0.99193,                 0.9942,                0.83361,                0.73652,                 0.3268,                 1.0079,              0.0019258,              0.0019258,              0.0019258
                      6,                0.53753,                0.29468,                0.85145,                0.99243,                0.99159,                0.99381,                0.82815,                0.74202,                0.32397,                 1.0179,               0.001901,               0.001901,               0.001901
                      7,                0.53334,                0.29372,                0.85101,                0.99355,                0.99143,                0.99334,                0.83248,                0.73047,                0.32164,                 1.0115,              0.0018763,              0.0018763,              0.0018763
                      8,                0.53947,                0.29699,                0.84901,                0.99243,                 0.9911,                0.99385,                 0.8345,                0.72956,                0.32409,                 1.0065,              0.0018515,              0.0018515,              0.0018515
                      9,                0.51519,                0.28746,                0.84502,                0.99192,                0.99076,                0.99428,                0.83486,                0.72793,                0.32634,                 1.0221,              0.0018267,              0.0018267,              0.0018267
                     10,                 0.5263,                0.29366,                0.84595,                0.99332,                0.99244,                0.99428,                 0.8255,                0.73459,                0.32721,                 1.0181,               0.001802,               0.001802,               0.001802
                     11,                0.51671,                0.28912,                0.84439,                 0.9921,                0.99143,                0.99416,                0.82109,                0.74278,                0.33009,                 1.0267,              0.0017772,              0.0017772,              0.0017772
                     12,                0.52306,                0.29055,                0.84587,                0.99085,                0.99143,                0.99411,                0.83175,                0.73397,                0.32887,                 1.0183,              0.0017525,              0.0017525,              0.0017525
                     13,                0.51271,                0.28654,                0.84279,                0.99237,                0.99244,                0.99411,                0.83217,                0.73994,                0.33425,                 1.0192,              0.0017278,              0.0017278,              0.0017278
                     14,                0.50573,                 0.2841,                0.84229,                0.99143,                0.99226,                0.99408,                0.83309,                 0.7242,                0.32246,                 1.0195,               0.001703,               0.001703,               0.001703
                     15,                 0.5023,                0.28375,                0.84131,                0.99294,                0.99259,                0.99395,                0.82889,                0.73298,                0.32251,                 1.0209,              0.0016783,              0.0016783,              0.0016783
                     16,                0.49919,                0.28265,                0.83979,                0.99193,                0.99157,                0.99442,                 0.8339,                0.74081,                0.32341,                 1.0324,              0.0016535,              0.0016535,              0.0016535
                     17,                0.49538,                0.28044,                 0.8378,                0.99343,                 0.9917,                0.99412,                0.83122,                0.72262,                0.32285,                  1.018,              0.0016287,              0.0016287,              0.0016287
                     18,                0.48414,                0.27701,                0.83672,                0.99262,                0.99143,                  0.994,                0.83203,                0.72225,                0.32171,                 1.0302,               0.001604,               0.001604,               0.001604
                     19,                0.48977,                0.27923,                0.83632,                0.99494,                0.99242,                0.99453,                0.82796,                0.73108,                0.32107,                 1.0231,              0.0015793,              0.0015793,              0.0015793
                     20,                0.50039,                0.28341,                0.84127,                0.99041,                0.98924,                0.99402,                0.82557,                0.73608,                0.33335,                 1.0358,              0.0015545,              0.0015545,              0.0015545
                     21,                0.48897,                0.27777,                0.83702,                0.99316,                0.98891,                0.99414,                0.82141,                0.73104,                0.33054,                 1.0287,              0.0015298,              0.0015298,              0.0015298
                     22,                0.48072,                0.27539,                0.83586,                0.99243,                0.99233,                 0.9945,                0.83331,                 0.7248,                0.32129,                 1.0238,               0.001505,               0.001505,               0.001505
                     23,                0.48866,                0.27898,                0.83596,                 0.9909,                0.99042,                0.99434,                0.81957,                0.73236,                 0.3268,                 1.0277,              0.0014803,              0.0014803,              0.0014803
                     24,                0.47609,                0.27329,                0.83472,                0.99277,                0.99193,                0.99384,                 0.8249,                0.72892,                0.32364,                 1.0334,              0.0014555,              0.0014555,              0.0014555
                     25,                0.47913,                 0.2743,                0.83556,                0.99086,                0.99244,                0.99411,                0.82792,                0.72937,                0.32027,                 1.0315,              0.0014307,              0.0014307,              0.0014307
                     26,                0.48259,                0.27463,                0.83524,                0.99343,                0.99092,                0.99415,                0.83022,                0.73431,                0.32475,                 1.0275,               0.001406,               0.001406,               0.001406
                     27,                 0.4635,                0.26722,                 0.8312,                0.99484,                0.98991,                0.99442,                0.83619,                0.72211,                0.31607,                 1.0265,              0.0013813,              0.0013813,              0.0013813
                     28,                0.47265,                0.26973,                0.83318,                0.99351,                0.99244,                0.99448,                0.83388,                0.72635,                0.31553,                 1.0254,              0.0013565,              0.0013565,              0.0013565
                     29,                0.45698,                0.26491,                0.82954,                0.99094,                0.99228,                0.99439,                 0.8377,                0.72076,                0.31374,                 1.0246,              0.0013318,              0.0013318,              0.0013318
                     30,                0.44904,                0.26227,                0.82903,                0.99294,                0.99228,                 0.9941,                0.83838,                0.72102,                0.31353,                 1.0283,               0.001307,               0.001307,               0.001307
                     31,                0.46441,                 0.2697,                0.83079,                 0.9942,                0.99193,                0.99432,                0.83336,                0.72434,                0.32212,                 1.0262,              0.0012822,              0.0012822,              0.0012822
                     32,                0.45377,                0.26479,                0.82848,                0.99122,                0.99092,                0.99438,                0.83697,                0.72394,                0.31848,                 1.0416,              0.0012575,              0.0012575,              0.0012575
                     33,                0.45154,                0.26219,                0.82846,                0.99293,                0.99172,                0.99406,                0.83237,                0.72942,                0.31718,                 1.0279,              0.0012328,              0.0012328,              0.0012328
                     34,                0.45736,                0.26617,                0.82874,                0.99264,                0.99294,                 0.9944,                0.83167,                0.72807,                0.31799,                 1.0278,               0.001208,               0.001208,               0.001208
                     35,                0.45929,                0.26676,                0.82773,                0.99093,                 0.9921,                0.99431,                0.83619,                0.72919,                0.31809,                 1.0229,              0.0011833,              0.0011833,              0.0011833
